Team,PS_Wins,PS_L,PS_Win_per,PS_PTS,PS_FGM,PS_FGA,PS_FG_per,PS_Three_PM,PS_BPM,RS_W,RS_L,RS_Win_per,RS_Bench_PTS,RS_Bench_FGM,RS_Bench_FGA,RS_Bench_FG_per,RS_Bench_3PM,RS_Bench_BPM,RS_FG,RS_FGA,RS_FG_per,RS_3P,RS_3PA,RS_3P_per,RS_2P,RS_2PA,RS_2P_per,RS_FT,RS_FTA,RS_FT_per,RS_ORB,RS_DRB,RS_TRB,RS_AST,RS_STL,RS_BLK,RS_TOV,RS_PF,RS_PTS,Age,RS_PW,RS_PL,RS_MOV,RS_SOS,RS_SRS,RS_ORtg,RS_DRtg,RS_NRtg,RS_Pace,RS_FTr,RS_3PAr,RS_TS_per,RS_Off_eFG_per,RS_Off_TOV_per,RS_Off_ORB_per,RS_Off_FT_per_FGA,RS_Def_eFG_per,RS_Def_TOV_per,RS_Def_DRB_per,RS_Def_FT_per_FGA,
Indiana Pacers,1,1,0.5,129.5,47.5,91.5,51.9,14.5,5.5,47,35,0.573,46.8,18.3,35.6,51.3,4.9,0.8,47,92.7,0.507,13.2,35.3,0.374,33.8,57.4,0.589,16.1,20.5,0.782,10.1,31.4,41.5,30.8,7.7,5.9,12.9,21.4,123.3,25.3,48,34,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,
LA Clippers,2,1,0.667,102,37,83.3,44.4,9.7,3.3,51,31,0.622,36.3,13.6,29.2,46.6,4,-0.5,42.4,86.7,0.489,12.6,33.2,0.381,29.7,53.5,0.555,18.3,22.2,0.825,10,32.9,43,25.6,7.8,5,13.1,18.5,115.6,30.4,49,33,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,0.561,12,24.4,0.211,0.541,11.7,74.8,0.183,
Los Angeles Lakers,1,2,0.333,109.3,41.7,92.3,45.1,11.7,-5.3,47,35,0.573,28.4,10.3,22.1,46.7,3.2,-0.3,43.7,87.5,0.499,11.8,31.4,0.377,31.8,56.2,0.567,18.9,24.2,0.782,8.2,34.9,43.1,28.5,7.4,5.5,14,15.6,118,28,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,0.55,11.7,76.2,0.153,
Memphis Grizzlies,2,1,0.667,113,38,88.7,42.9,15.3,-5.7,27,55,0.329,33,12,29.4,40.8,4.2,-1.7,38.4,88.2,0.435,13.1,37.8,0.346,25.3,50.4,0.502,16,21,0.764,10.9,31.7,42.6,24.7,8.2,6.1,15.1,19.1,105.8,24.4,24,58,-7,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,0.509,13.4,23.8,0.182,0.551,13.5,74.8,0.195,
Miami Heat,1,1,0.5,104.5,39,93,41.9,12,-0.5,46,36,0.561,35.9,13,28.8,45.1,4.9,0.3,39.8,85.6,0.465,12.5,33.7,0.37,27.4,51.9,0.527,18,22,0.818,9.3,33,42.3,25.8,7.5,3.4,12.7,17.3,110.1,28,46,36,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,0.543,12.7,78.1,0.174,
Milwaukee Bucks,0,2,0,94.5,35,86.5,40.5,16,-19,49,33,0.598,32.5,12.3,26.5,46.2,4.7,-0.7,43.1,88.5,0.487,14.2,38.1,0.373,29,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5,12.9,19.2,119,30.2,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,
Minnesota Timberwolves,2,1,0.667,118.3,42.3,92.3,45.8,16.7,7.3,56,26,0.683,32.3,11.9,26.1,45.7,4.4,2.2,41.3,85,0.485,12.6,32.7,0.387,28.6,52.4,0.546,17.8,22.9,0.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113,27.2,57,25,6.45,-0.07,6.39,115.6,109,6.6,97.1,0.27,0.384,0.594,0.559,13,23.2,0.209,0.515,12.9,76.9,0.197,
New Orleans Pelicans,1,1,0.5,102.5,37.5,83,45.2,10.5,0,49,33,0.598,32,11.4,25.9,44.1,5,2.2,42.5,87.4,0.486,12.5,32.6,0.383,30,54.8,0.548,17.6,22.8,0.771,10.4,33.6,44,27,8.3,4.6,13,18.4,115.1,26,52,30,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,0.541,12.9,76.9,0.186,
New York Knicks,3,0,1,114.3,39,92.7,42.1,12.7,10,50,32,0.61,28.4,10.3,23.6,43.8,4,0.5,41.3,88.7,0.465,13.2,35.8,0.369,28.1,52.9,0.531,17,21.8,0.78,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8,26.4,53,29,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,
Oklahoma City Thunder,2,1,0.667,114,45.7,94.7,48.2,14,8,57,25,0.695,34.6,12.8,27.2,47,6.1,2.1,44.5,89.3,0.499,13.3,34.2,0.389,31.3,55.1,0.567,17.7,21.5,0.825,8.8,33.2,42,27.1,8.5,6.6,12.7,18.8,120.1,23.4,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,
